2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:371 - TARGET: الحمدللهربالعالمين
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدلله
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الحمدلله
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:371 - TARGET: بسماللهالرحمنالرحيم
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدلله
2025-05-20 19:44:58.060 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الحمدلله
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:371 - TARGET: الرحمنالرحيم
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدلله
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الحمدلله
2025-05-20 19:44:58.061 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.064 | INFO     | __main__:parse_all_downloaded:633 - page_20.html
2025-05-20 19:44:58.076 | INFO     | __main__:save_to_sqlite:545 - Saved 0 new poems to output/poetry.db
2025-05-20 19:44:58.128 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.128 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:371 - TARGET: الحمدللهربالعالمين
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدللهرب
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:373 - LAST VS: رب
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:371 - TARGET: بسماللهالرحمنالرحيم
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدللهرب
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:373 - LAST VS: رب
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:371 - TARGET: الرحمنالرحيم
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدللهرب
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:373 - LAST VS: رب
2025-05-20 19:44:58.129 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.133 | INFO     | __main__:parse_all_downloaded:633 - page_21.html
2025-05-20 19:44:58.142 | INFO     | __main__:save_to_sqlite:545 - Saved 0 new poems to output/poetry.db
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:370 - AYA: 2
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:371 - TARGET: الحمدللهربالعالمين
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:372 - VS: الحمدللهربالعالمين
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:373 - LAST VS: العالمين
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: True
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:370 - AYA: 3
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:371 - TARGET: بسماللهالرحمنالرحيم
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:372 - VS: 
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الحمدلله رب العالمين
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:370 - AYA: 3
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:371 - TARGET: الرحمنالرحيم
